Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1994","1994","1000 ha","540","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1994","1994","1000 ha","30250","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1995","1995","1000 ha","30460","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1995","1995","1000 ha","566","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1995","1995","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1996","1996","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1996","1996","1000 ha","622","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1996","1996","1000 ha","30550","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1997","1997","1000 ha","31040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1997","1997","1000 ha","629","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1997","1997","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1998","1998","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1998","1998","1000 ha","640","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1998","1998","1000 ha","31120","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1999","1999","1000 ha","31110","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","1999","1999","1000 ha","646","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","1999","1999","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","2000","2000","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","2000","2000","1000 ha","658","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2000","2000","1000 ha","31040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2001","2001","1000 ha","31300","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","2001","2001","1000 ha","672","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","2001","2001","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","2002","2002","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","2002","2002","1000 ha","664","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2002","2002","1000 ha","31220","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2003","2003","1000 ha","31190","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","2003","2003","1000 ha","652","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","2003","2003","1000 ha","5000","F","FAO estimate"
"RL","Land Use","165","Pakistan","5110","Area","6655","Land under perm. meadows and pastures","2004","2004","1000 ha","5000","Fm","Manual Estimation"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","2004","2004","1000 ha","735","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2004","2004","1000 ha","30310","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2005","2005","1000 ha","30170","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","165","Pakistan","5110","Area","6650","Land under permanent crops","2005","2005","1000 ha","795","Q","Official data reported on FAO Questionnaires from countries"
